"","district","school_number","school","totmem","type","total_from_race","total_white","total_black","total_hispanic","total_asian","free_reduced","per_fr"
"387","BROWARD",2631,"FOREST HILLS ELEMENTARY SCHOOL",561,"elem",598,105,205,238,26,426,75.9358288770053
"388","BROWARD",2641,"CENTRAL PARK ELEMENTARY SCHOOL",1098,"elem",1059,445,150,355,63,360,32.7868852459016
"389","BROWARD",2661,"PEMBROKE LAKES ELEMENTARY SCHL",545,"elem",547,95,94,329,18,281,51.5596330275229
"390","BROWARD",2671,"NOB HILL ELEMENTARY SCHOOL",620,"elem",623,197,197,170,27,346,55.8064516129032
"391","BROWARD",2681,"WESTCHESTER ELEMENTARY SCHOOL",1224,"elem",1207,487,249,334,88,528,43.1372549019608
"392","BROWARD",2691,"MORROW ELEMENTARY SCHOOL",481,"elem",477,20,359,84,4,458,95.2182952182952
"393","BROWARD",2711,"RAMBLEWOOD MIDDLE SCHOOL",1203,"mid",1163,406,322,349,40,665,55.2784704904406
"394","BROWARD",2721,"RAMBLEWOOD ELEMENTARY SCHOOL",800,"elem",787,261,227,240,23,476,59.5
"395","BROWARD",2741,"MAPLEWOOD ELEMENTARY SCHOOL",698,"elem",716,231,186,246,30,373,53.4383954154728
"396","BROWARD",2751,"J. P. TARAVELLA HIGH SCHOOL",3060,"high",3104,1045,900,945,114,1490,48.6928104575163
"397","BROWARD",2801,"DAVIE ELEMENTARY SCHOOL",752,"elem",759,234,124,362,18,604,80.3191489361702
"398","BROWARD",2811,"PINEWOOD ELEMENTARY SCHOOL",615,"elem",638,28,452,134,6,492,80
"399","BROWARD",2831,"WESTERN HIGH SCHOOL",3080,"high",3133,1518,208,1212,114,1175,38.1493506493507
"400","BROWARD",2851,"GRIFFIN ELEMENTARY SCHOOL",558,"elem",556,302,34,179,17,191,34.2293906810036
"401","BROWARD",2861,"PINES LAKES ELEMENTARY SCHOOL",620,"elem",545,70,202,238,23,434,70
"402","BROWARD",2871,"SEA CASTLE ELEMENTARY SCHOOL",782,"elem",851,23,612,178,21,627,80.1790281329923
"403","BROWARD",2881,"WELLEBY ELEMENTARY SCHOOL",746,"elem",738,168,279,220,38,477,63.941018766756
"404","BROWARD",2891,"RIVERGLADES ELEMENTARY SCHOOL",643,"elem",649,400,50,118,61,95,14.7744945567652
"405","BROWARD",2942,"EVERGLADES ELEMENTARY SCHOOL",945,"elem",1054,377,40,499,109,144,15.2380952380952
"406","BROWARD",2961,"CHAPEL TRAIL ELEMENTARY SCHOOL",752,"elem",734,207,91,390,15,320,42.5531914893617
"407","BROWARD",2971,"SILVER LAKES MIDDLE SCHOOL",829,"mid",807,30,617,119,19,720,86.8516284680338
"408","BROWARD",2981,"COUNTRY ISLES ELEMENTARY SCHL",956,"elem",1000,447,72,412,41,258,26.9874476987448
"409","BROWARD",3001,"WALTER C. YOUNG MIDDLE SCHOOL",1176,"mid",1049,209,252,485,69,526,44.7278911564626
"410","BROWARD",3011,"MARJORY STONEMAN DOUGLAS HS",3037,"high",2972,1825,331,531,196,633,20.8429371089891
"411","BROWARD",3031,"RIVERSIDE ELEMENTARY SCHOOL",712,"elem",738,387,116,153,58,271,38.061797752809
"412","BROWARD",3041,"CORAL PARK ELEMENTARY SCHOOL",631,"elem",654,280,131,174,42,301,47.70206022187
"413","BROWARD",3051,"FOREST GLEN MIDDLE SCHOOL",1400,"mid",1336,338,452,405,86,881,62.9285714285714
"414","BROWARD",3061,"SANDPIPER ELEMENTARY SCHOOL",646,"elem",600,184,239,129,19,430,66.5634674922601
"415","BROWARD",3081,"SILVER RIDGE ELEMENTARY SCHOOL",934,"elem",1044,527,93,347,49,296,31.6916488222698
"416","BROWARD",3091,"WINSTON PARK ELEMENTARY SCHOOL",1162,"elem",1177,491,228,351,52,579,49.8278829604131
"417","BROWARD",3101,"LYONS CREEK MIDDLE SCHOOL",1799,"mid",1820,744,343,568,85,962,53.4741523068371
"418","BROWARD",3111,"COUNTRY HILLS ELEMENTARY SCHL",854,"elem",870,407,134,220,70,301,35.2459016393443
"419","BROWARD",3121,"QUIET WATERS ELEMENTARY SCHOOL",1437,"elem",1397,499,278,528,34,875,60.8907446068198
"420","BROWARD",3131,"HAWKES BLUFF ELEMENTARY SCHOOL",818,"elem",815,395,48,292,45,219,26.7726161369193
"421","BROWARD",3151,"TEQUESTA TRACE MIDDLE SCHOOL",1384,"mid",1403,523,65,724,54,409,29.5520231213873
"422","BROWARD",3171,"PARK SPRINGS ELEMENTARY SCHOOL",912,"elem",941,413,205,223,68,322,35.3070175438597
"423","BROWARD",3181,"INDIAN TRACE ELEMENTARY SCHOOL",723,"elem",718,286,17,378,24,181,25.0345781466113
"424","BROWARD",3191,"EMBASSY CREEK ELEMENTARY SCHOO",981,"elem",1094,595,56,330,75,196,19.9796126401631
"425","BROWARD",3221,"CHARLES DREW ELEMENTARY SCHOOL",649,"elem",603,16,404,170,4,614,94.6070878274268
"426","BROWARD",3222,"CROSS CREEK SCHOOL",162,"high",118,46,59,10,2,123,75.9259259259259
"427","BROWARD",3291,"THURGOOD MARSHALL ELEM. SCHOOL",504,"elem",479,9,436,31,0,486,96.4285714285714
"428","BROWARD",3301,"ENDEAVOUR PRIMARY LEARNING CEN",431,"elem",432,8,404,14,3,411,95.3596287703016
"429","BROWARD",3311,"PALM COVE ELEMENTARY SCHOOL",821,"elem",748,80,385,235,25,574,69.9147381242387
"430","BROWARD",3321,"VIRGINIA SHUMAN YOUNG ELEM",739,"elem",730,411,174,96,13,196,26.5223274695535
"431","BROWARD",3331,"SILVER TRAIL MIDDLE SCHOOL",1479,"mid",1422,484,152,648,72,420,28.3975659229209
"432","BROWARD",3371,"SILVER LAKES ELEMENTARY SCHOOL",553,"elem",530,106,163,221,24,251,45.3887884267631
"433","BROWARD",3391,"CHARLES W FLANAGAN HIGH SCHOOL",2912,"high",2900,521,925,1252,117,1447,49.6909340659341
"434","BROWARD",3401,"SAWGRASS ELEMENTARY SCHOOL",886,"elem",991,250,277,383,53,481,54.2889390519187
"435","BROWARD",3431,"SAWGRASS SPRINGS MIDDLE SCHOOL",1179,"mid",1101,393,280,324,48,588,49.8727735368957
"436","BROWARD",3441,"EAGLE RIDGE ELEMENTARY SCHOOL",811,"elem",882,418,133,211,90,199,24.537607891492
"437","BROWARD",3461,"EAGLE POINT ELEMENTARY SCHOOL",1190,"elem",1291,363,44,786,81,378,31.7647058823529
"438","BROWARD",3471,"INDIAN RIDGE MIDDLE SCHOOL",1813,"mid",1811,923,103,672,63,668,36.8450082735797
"439","BROWARD",3481,"TRADEWINDS ELEMENTARY SCHOOL",1158,"elem",1247,454,174,513,62,594,51.2953367875648
"440","BROWARD",3491,"SILVER PALMS ELEMENTARY SCHOOL",651,"elem",607,139,112,285,57,199,30.568356374808
"441","BROWARD",3531,"FOX TRAIL ELEMENTARY SCHOOL",1204,"elem",1227,577,73,486,53,524,43.5215946843854
"442","BROWARD",3541,"MONARCH HIGH SCHOOL",2251,"high",2406,963,498,763,103,1114,49.4891159484674
"443","BROWARD",3571,"PANTHER RUN ELEMENTARY SCHOOL",547,"elem",549,128,84,288,18,173,31.6270566727605
"444","BROWARD",3581,"SILVER SHORES ELEMENTARY SCHL",515,"elem",492,40,177,201,54,208,40.3883495145631
"445","BROWARD",3591,"LAKESIDE ELEMENTARY SCHOOL",715,"elem",684,122,142,329,60,298,41.6783216783217
"446","BROWARD",3622,"FALCON COVE MIDDLE SCHOOL",2223,"mid",2130,706,79,1140,149,263,11.8308591992803
"447","BROWARD",3623,"CYPRESS BAY HIGH SCHOOL",4403,"high",4489,1659,151,2386,210,730,16.5796048148989
"448","BROWARD",3631,"PARKSIDE ELEMENTARY SCHOOL",742,"elem",740,176,233,263,45,489,65.9029649595687
"449","BROWARD",3642,"GATOR RUN ELEMENTARY SCHOOL",1186,"elem",1265,447,28,715,57,160,13.4907251264755
"450","BROWARD",3651,"DAVE THOMAS EDUCATION CENTER",731,"high",727,51,499,156,8,591,80.8481532147743
