Lunch Status,,,,,,,,
"School Year 2013-14, Survey 2 Data, Final (as of 05/11/14)",,,,,,,,
DISTRICT/SCHOOL TOTALS,,,,,,,,
An asterisk (*) replaces data when the cohort is fewer than ten students. A blank cell indicates no students in the cohort.,,,,,,,,
, ,,,,,,,
District Number,District Name,School Number,School Name,Total Members,#Free ,#Reduced Priced  ,#Provision 2,#Direct Cert
05,BREVARD,0151,IMPERIAL ESTATES ELEM. SCHOOL,652,310,45,,
05,BREVARD,0161,ASTRONAUT HIGH SCHOOL,"1,141",382,48,,
05,BREVARD,0181,PINEWOOD ELEMENTARY SCHOOL,431,267,20,,
05,BREVARD,0191,CHALLENGER 7 ELEMENTARY SCHOOL,508,229,35,,
05,BREVARD,0201,ATLANTIS ELEMENTARY SCHOOL,568,233,38,,
05,BREVARD,0301,ENTERPRISE ELEMENTARY SCHOOL,569,209,38,,
05,BREVARD,0302,SPACE COAST JR/SR HIGH SCHOOL,"1,498",459,56,,
05,BREVARD,1002,CENTER FOR DRUG FREE LIVING,25,*,,,
05,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL,"1,372",368,51,,
05,BREVARD,1014,BREVARD COUNTY JAIL COMPLEX,*,*,,,
05,BREVARD,1017,NORTH/CENTRAL AREA ALTERNATIVE,56,36,*,,
05,BREVARD,1018,SOUTH AREA ALTERNATIVE LEARNIN,61,34,*,,
05,BREVARD,1020,OUTWARD BOUND,*,,,,
05,BREVARD,1021,ESE INFANTS AND TODDLERS,229,73,*,,
05,BREVARD,1025,BREVARD COUNTY JUV.DET.CTR.,27,16,*,,
05,BREVARD,1026,FRANCES WALKER HALFWAY HOUSE,20,*,,,
05,BREVARD,1027,MELBOURNE CENTER FOR PERSONAL,27,,,,
05,BREVARD,1028,DEVEREUX HOSPITAL,43,*,,,
05,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,105,82,*,,
05,BREVARD,1032,HORACE MANN ACADEMY,113,81,*,,
05,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,620,,,,442
05,BREVARD,1051,ENDEAVOUR ELEMENTARY MAGNET,816,,,,605
05,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCH,648,,,,328
05,BREVARD,1073,PROJECT SEARCH,19,*,,,
05,BREVARD,1081,RONALD MCNAIR MAGNET MIDDLE,494,173,18,,
05,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,714,,,,377
05,BREVARD,1101,JOHN F. KENNEDY MIDDLE SCHOOL,614,187,24,,
05,BREVARD,1121,COCOA HIGH SCHOOL,"1,457",868,60,,
05,BREVARD,1131,SATURN ELEMENTARY SCHOOL,738,,,,453
05,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMEN,751,285,47,,
05,BREVARD,1151,RALPH M WILLIAMS JR ELEMENTARY,552,114,21,,
05,BREVARD,1161,MANATEE ELEMENTARY,850,80,13,,
05,BREVARD,1171,VIERA HIGH SCHOOL,"1,976",149,34,,
05,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL,"2,011",436,64,,
05,BREVARD,2021,PALM BAY MAGNET SENIOR HIGH SC,"1,554",688,111,,
05,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMEN,890,298,46,,
05,BREVARD,2041,MEADOWLANE PRIMARY ELEMENTARY,779,252,39,,
05,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL,551,74,17,,
05,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCH,676,521,30,,
05,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,755,458,47,,
05,BREVARD,2071,STONE MAGNET MIDDLE SCHOOL,816,479,52,,
05,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,849,639,63,,
05,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,770,344,50,,
05,BREVARD,2121,"JOHN F. TURNER, SR. ELEMENTARY",715,508,55,,
05,BREVARD,2122,SOUTHWEST MIDDLE SCHOOL,966,537,78,,
05,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,615,408,45,,
05,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,720,472,55,,
05,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,769,483,62,,
05,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,726,513,56,,
05,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,795,516,60,,
05,BREVARD,2211,BAYSIDE HIGH SCHOOL,"1,627",611,114,,
05,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,804,396,63,,
05,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,727,332,63,,
05,BREVARD,2311,HERITAGE HIGH SCHOOL,"1,796",861,164,,
05,BREVARD,3011,EAU GALLIE HIGH SCHOOL,"1,682",592,67,,
05,BREVARD,3021,CENTRAL MIDDLE SCHOOL,"1,277",568,103,,
05,BREVARD,3031,LYNDON B. JOHNSON MIDDLE SCHL,796,348,36,,
05,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,530,230,25,,
05,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,451,312,15,,
05,BREVARD,3071,SABAL ELEMENTARY SCHOOL,607,357,41,,
05,BREVARD,3091,CROTON ELEMENTARY SCHOOL,676,372,29,,
05,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,595,309,37,,
05,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,622,77,17,,
05,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,609,76,22,,
05,BREVARD,3141,WEST SHORE JUNIOR/SENIOR HIGH,961,81,19,,
05,BREVARD,3151,QUEST ELEMENTARY SCHOOL,711,85,16,,
05,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,"1,499",326,35,,
05,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL,940,72,18,,
05,BREVARD,4031,MILA ELEMENTARY SCHOOL,479,320,21,,
05,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,674,221,17,,
05,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,670,282,18,,
05,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY,485,55,16,,
05,BREVARD,4111,THOMAS JEFFERSON MIDDLE SCHOOL,642,190,31,,
05,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHL,633,186,28,,
05,BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH,"1,164",229,32,,
05,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY,409,119,31,,
05,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL IN,404,23,*,,
05,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,372,219,16,,
05,BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,"1,290",195,39,,
05,BREVARD,6012,DELAURA MIDDLE SCHOOL,742,107,24,,
05,BREVARD,6013,SPESSARD L. HOLLAND ELEMENTARY,415,66,30,,
05,BREVARD,6051,SEA PARK ELEMENTARY SCHOOL,321,89,19,,
05,BREVARD,6061,SURFSIDE ELEMENTARY SCHOOL,389,58,18,,
05,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,531,166,21,,
05,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,756,96,19,,
05,BREVARD,6082,HERBERT C. HOOVER MIDDLE SCHOO,554,128,17,,
05,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,510,60,11,,
05,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHL,941,597,53,,
05,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOO,559,370,58,,
05,BREVARD,6506,CAMPUS CHARTER SCHOOL,142,76,*,,
05,BREVARD,6507,ODYSSEY CHARTER SCHOOL,911,492,106,,
05,BREVARD,6508,SCULPTOR CHARTER SCHOOL,531,85,*,,
05,BREVARD,6509,ROYAL PALM CHARTER SCHOOL,335,125,50,,
05,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER,97,13,*,,
05,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOU,174,172,,,
05,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY,201,188,,,
05,BREVARD,6540,VIERA CHARTER SCHOOL,643,44,*,,
05,BREVARD,6541,ODYSSEY PREPARATORY CHARTER AC,179,117,14,,
05,BREVARD,7004,BREVARD VIRTUAL FRANCHISE,64,*,*,,
05,BREVARD,7023,BREVARD VIRTUAL ESCHOOL,67,21,11,,
06,BROWARD,9999,DISTRICT RECORD,*,"137,198","20,260",,
06,BROWARD,0011,DEERFIELD BEACH ELEMENTARY SCH,702,479,37,,
06,BROWARD,0021,POMPANO BEACH MIDDLE SCHOOL,"1,056",832,77,,
06,BROWARD,0031,OAKLAND PARK ELEMENTARY SCHOOL,596,501,33,,
06,BROWARD,0041,NORTH SIDE ELEMENTARY SCHOOL,450,440,*,,
06,BROWARD,0101,DANIA ELEMENTARY SCHOOL,498,365,30,,
06,BROWARD,0111,HOLLYWOOD HILLS ELEM. SCHOOL,742,289,55,,
06,BROWARD,0121,HOLLYWOOD CENTRAL ELEM. SCHOOL,556,343,30,,
06,BROWARD,0131,HALLANDALE ELEMENTARY SCHOOL,"1,124",943,84,,
06,BROWARD,0151,RIVERLAND ELEMENTARY SCHOOL,646,565,39,,
06,BROWARD,0161,WEST HOLLYWOOD ELEMENTARY SCHO,698,600,37,,
06,BROWARD,0171,SOUTH BROWARD HIGH SCHOOL,"2,041","1,177",219,,
06,BROWARD,0185,POMPANO BEACH H. S.,"1,208",343,125,,
06,BROWARD,0191,WILTON MANORS ELEMENTARY SCHOO,609,416,47,,
06,BROWARD,0201,BENNETT ELEMENTARY SCHOOL,431,331,28,,
06,BROWARD,0211,STRANAHAN HIGH SCHOOL,"1,575","1,139",147,,
06,BROWARD,0221,CROISSANT PARK ELEMENTARY SCHO,742,568,59,,
06,BROWARD,0231,COLBERT ELEMENTARY SCHOOL,591,511,27,,
06,BROWARD,0241,MCARTHUR HIGH SCHOOL,"2,209","1,292",276,,
06,BROWARD,0251,SUNRISE MIDDLE SCHOOL,"1,325",820,85,,
06,BROWARD,0271,DILLARD ELEMENTARY SCHOOL,791,770,11,,
06,BROWARD,0321,WALKER ELEMENTARY (MAGNET),592,557,22,,
06,BROWARD,0331,COLLINS ELEMENTARY SCHOOL,275,232,17,,
06,BROWARD,0341,BETHUNE MARY M ELEMENTARY SCHO,696,635,32,,
06,BROWARD,0343,ATTUCKS MIDDLE SCHOOL,746,556,73,,
06,BROWARD,0361,BLANCHE ELY HIGH SCHOOL,"2,049","1,557",134,,
06,BROWARD,0371,DILLARD HIGH SCHOOL,"1,857","1,467",122,,
06,BROWARD,0391,DEERFIELD PARK ELEMENTARY SCHL,587,539,20,,
06,BROWARD,0403,HALLANDALE HIGH SCHOOL,"1,276",950,123,,
06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,60,41,*,,
06,BROWARD,0452,WHIDDON RODGERS ED. CENTER,"1,078",673,23,,
06,BROWARD,0461,OAKRIDGE ELEMENTARY SCHOOL,612,486,49,,
06,BROWARD,0471,OLSEN MIDDLE SCHOOL,861,609,74,,
06,BROWARD,0481,MCNICOL MIDDLE SCHOOL,923,738,77,,
06,BROWARD,0491,HARBORDALE ELEMENTARY SCHOOL,437,161,34,,
06,BROWARD,0501,BROWARD ESTATES ELEMENTARY SCH,486,426,31,,
06,BROWARD,0511,WATKINS ELEMENTARY SCHOOL,720,627,41,,
06,BROWARD,0521,NORTH ANDREWS GARDENS ELEM.,816,553,61,,
06,BROWARD,0531,MIRAMAR ELEMENTARY SCHOOL,836,672,54,,
06,BROWARD,0551,PLANTATION MIDDLE SCHOOL,960,583,60,,
06,BROWARD,0561,NORCREST ELEMENTARY SCHOOL,819,507,31,,
06,BROWARD,0571,TEDDER ELEMENTARY SCHOOL,699,648,28,,
06,BROWARD,0581,MARGATE MIDDLE SCHOOL,"1,363",925,132,,
06,BROWARD,0592,HALLANDALE ADULT/COMMUNITY CTR,619,421,20,,
06,BROWARD,0601,SEAGULL SCHOOL,289,229,12,,
06,BROWARD,0611,SUNLAND PARK ELEMENTARY SCHOOL,353,345,*,,
06,BROWARD,0621,LARKDALE ELEMENTARY SCHOOL,417,401,*,,
06,BROWARD,0631,WESTWOOD HEIGHTS ELEMENTARY,583,543,14,,
06,BROWARD,0641,BAYVIEW ELEMENTARY SCHOOL,600,97,*,,
06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,100,82,*,,
06,BROWARD,0691,STIRLING ELEMENTARY SCHOOL,663,422,58,,
06,BROWARD,0701,PARKWAY MIDDLE SCHOOL,"1,641","1,289",94,,
06,BROWARD,0711,ORANGE BROOK ELEMENTARY SCHOOL,850,681,56,,
06,BROWARD,0721,DRIFTWOOD ELEMENTARY SCHOOL,568,402,49,,
06,BROWARD,0731,TROPICAL ELEMENTARY SCHOOL,952,365,73,,
06,BROWARD,0751,POMPANO BEACH ELEMENTARY SCHOO,519,448,10,,
06,BROWARD,0761,MEADOWBROOK ELEMENTARY SCHOOL,710,608,53,,
06,BROWARD,0811,BROADVIEW ELEMENTARY SCHOOL,"1,038",861,39,,
06,BROWARD,0831,LAKE FOREST ELEMENTARY SCHOOL,814,708,43,,
06,BROWARD,0841,MCNAB ELEMENTARY SCHOOL,682,277,37,,
06,BROWARD,0851,FLORANADA ELEMENTARY SCHOOL,748,332,51,,
06,BROWARD,0861,DRIFTWOOD MIDDLE SCHOOL,"1,542",944,219,,
06,BROWARD,0871,BRIGHT HORIZONS,143,81,*,,
06,BROWARD,0881,NEW RIVER MIDDLE SCHOOL,"1,371",980,127,,
06,BROWARD,0891,SANDERS PARK ELEMENTARY SCHOOL,569,531,10,,
06,BROWARD,0901,CRESTHAVEN ELEMENTARY SCHOOL,648,543,39,,
06,BROWARD,0911,DEERFIELD BEACH MIDDLE SCHOOL,"1,169",863,76,,
06,BROWARD,0921,STEPHEN FOSTER ELEMENTARY SCHL,671,497,48,,
06,BROWARD,0931,PETERS ELEMENTARY SCHOOL,684,388,69,,
06,BROWARD,0941,PLANTATION ELEMENTARY SCHOOL,567,490,32,,
06,BROWARD,0951,FORT LAUDERDALE HIGH SCHOOL,"2,075","1,181",163,,
06,BROWARD,0971,BOULEVARD HEIGHTS ELEMENTARY,751,501,76,,
06,BROWARD,0991,WINGATE OAKS CENTER,125,71,*,,
06,BROWARD,1011,HENRY D. PERRY MIDDLE SCHOOL,620,476,59,,
06,BROWARD,1021,THE QUEST CENTER,134,71,*,,
06,BROWARD,1051,SHERIDAN TECHNICAL CENTER,49,17,*,,
06,BROWARD,1071,WILLIAM DANDY MIDDLE SCHOOL,"1,096",929,75,,
06,BROWARD,1091,LLOYD ESTATES ELEMENTARY SCHL,590,529,21,,
06,BROWARD,1131,PALMVIEW ELEMENTARY SCHOOL,658,611,21,,
06,BROWARD,1151,CORAL SPRINGS HIGH SCHOOL,"2,532","1,222",248,,
06,BROWARD,1161,MARGATE ELEMENTARY SCHOOL,935,550,86,,
06,BROWARD,1171,SUNSHINE ELEMENTARY SCHOOL,682,542,50,,
06,BROWARD,1191,NORTH FORK ELEMENTARY SCHOOL,556,539,10,,
06,BROWARD,1211,COOPER CITY ELEMENTARY SCHOOL,824,245,55,,
06,BROWARD,1221,PEMBROKE PINES ELEMENTARY SCHL,602,404,63,,
06,BROWARD,1241,NORTHEAST HIGH SCHOOL,"1,852","1,187",195,,
06,BROWARD,1251,PLANTATION PARK ELEMENTARY,495,214,36,,
