MEMBERSHIP BY GRADE/RACE/GENDER BY SCHOOL,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/20/14",,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed.  Data for groups less than 10 are displayed with an asterisk (*).  
Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,
District #,District,School #,School ,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female Total,Male Total,Total
29,HILLSBOROUGH,0119,MOSI PARTNERSHIP ELEMENTARY,9, , , , , , , , , , 
29,HILLSBOROUGH,0119,MOSI PARTNERSHIP ELEMENTARY,10, , , , , , , , , , 
29,HILLSBOROUGH,0119,MOSI PARTNERSHIP ELEMENTARY,11, , , , , , , , , , 
29,HILLSBOROUGH,0119,MOSI PARTNERSHIP ELEMENTARY,12, , , , , , , , , , 
29,HILLSBOROUGH,0119,SCHOOL TOTALS,TOTAL,16,116,95,5,4, ,17,131,122,253
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,PK, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,KG,9,61,25,3, , ,2,49,51,100
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,1,11,69,24,2, ,2,1,63,46,109
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,2,6,57,26, , , ,3,37,55,92
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,3,6,73,14,1, , ,4,41,57,98
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,4,7,53,14, , , ,3,38,39,77
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,5,4,46,13, ,1, ,2,32,34,66
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,6, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,7, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,8, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,9, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,10, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,11, , , , , , , , , , 
29,HILLSBOROUGH,0120,KIMBELL ELEMENTARY,12, , , , , , , , , , 
29,HILLSBOROUGH,0120,SCHOOL TOTALS,TOTAL,43,359,116,6,1,2,15,260,282,542
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,PK,*,*,*,*,*,*,*,*,*,*
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,KG,38,3,18,3,1, ,10,36,37,73
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,1,32,7,21,6,1, ,10,36,41,77
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,2,28,10,11,7, , ,8,29,35,64
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,3,20,7,16,1, , ,8,34,18,52
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,4,24,10,8,2, , ,6,23,27,50
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,5,24,3,13,2, , ,4,15,31,46
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0121,ANDERSON ELEMENTARY SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0121,SCHOOL TOTALS,TOTAL,167,40,87,21,2, ,46,173,190,363
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,PK, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,KG,10,13,6,2, , ,4,20,15,35
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,1,11,12,8,2, , , ,16,17,33
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,2,5,21,7,2, , ,1,19,17,36
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,3,4,23,6,1, , ,3,15,22,37
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,4,4,18,12,2, , ,1,21,16,37
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,5,1,17,4,1, , ,1,9,15,24
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,6, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,7, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,8, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,9, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,10, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,11, , , , , , , , , , 
29,HILLSBOROUGH,0122,USF/PATEL PARTNERSHIP ELEMENTA,12, , , , , , , , , , 
29,HILLSBOROUGH,0122,SCHOOL TOTALS,TOTAL,35,104,43,10, , ,10,100,102,202
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,PK, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,KG,2,5,4, , , ,1,8,4,12
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,1,1,3,7, , , ,1,5,7,12
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,2, ,7,6, , , ,4,12,5,17
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,3, ,7,3, , , ,1,7,4,11
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,4,*,*,*,*,*,*,*,*,*,*
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,5, ,4,5, , , ,1,6,4,10
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,6, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,7, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,8, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,9, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,10, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,11, , , , , , , , , , 
29,HILLSBOROUGH,0123,METROPOLITAN MINISTRIES PARTNE,12, , , , , , , , , , 
29,HILLSBOROUGH,0123,SCHOOL TOTALS,TOTAL,4,34,25, , , ,8,45,26,71
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,PK,5,6,22, , , ,2,14,21,35
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,KG,40,25,87, , , ,8,81,79,160
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,1,29,28,97,3,1,1,2,71,90,161
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,2,22,24,94, , , ,1,71,70,141
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,3,29,18,75,1, , ,3,60,66,126
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,4,26,23,69,3,1, ,4,46,80,126
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,5,21,25,68,1,1,2,3,62,59,121
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,6, , , , , , , , , , 
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,7, , , , , , , , , , 
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,8, , , , , , , , , , 
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,9, , , , , , , , , , 
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,10, , , , , , , , , , 
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,11, , , , , , , , , , 
29,HILLSBOROUGH,0125,THOMPSON ELEMENTARY,12, , , , , , , , , , 
29,HILLSBOROUGH,0125,SCHOOL TOTALS,TOTAL,172,149,512,8,3,3,23,405,465,870
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,KG, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,1, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,2, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,3, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,4, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,5, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,9,187,205,147,3,2,3,21,282,286,568
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,10,152,176,125,3,2,3,16,250,227,477
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,11,148,126,100,3,1, ,16,185,209,394
29,HILLSBOROUGH,0131,ARMWOOD HIGH SCHOOL,12,134,124,93,5,2, ,12,163,207,370
29,HILLSBOROUGH,0131,SCHOOL TOTALS,TOTAL,621,631,465,14,7,6,65,880,929,"1,809"
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,PK,*,*,*,*,*,*,*,*,*,*
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,KG,85,2,26,1,2,1,3,55,65,120
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,1,93,2,19,2, ,1,3,51,69,120
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,2,86,6,29,2, ,2,5,61,69,130
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,3,88,5,20,3, , ,4,57,63,120
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,4,78,4,16,1, , ,2,47,54,101
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,5,75,2,23,1, , ,5,67,39,106
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0141,APOLLO BEACH ELEMENTARY SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0141,SCHOOL TOTALS,TOTAL,507,21,133,10,2,4,22,339,360,699
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,KG, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,1, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,2, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,3, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,4, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,5, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,9,220,42,399,28,1,5,26,367,354,721
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,10,210,53,356,20,1,5,19,319,345,664
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,11,241,49,348,26, ,5,26,329,366,695
29,HILLSBOROUGH,0151,ALONSO HIGH SCHOOL,12,169,50,259,29, ,1,20,269,259,528
29,HILLSBOROUGH,0151,SCHOOL TOTALS,TOTAL,840,194,"1,362",103,2,16,91,"1,284","1,324","2,608"
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,PK,*,*,*,*,*,*,*,*,*,*
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,KG,48,8,15,3, , ,7,43,38,81
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,1,44,2,13,3, , ,7,33,36,69
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,2,44,6,17,4, , ,2,28,45,73
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,3,37,6,10,4, , ,4,30,31,61
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,4,33,8,5,5, ,1,8,25,35,60
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,5,38,6,6,4,1, ,4,25,34,59
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,6, , , , , , , , , , 
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,7, , , , , , , , , , 
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,8, , , , , , , , , , 
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,9, , , , , , , , , , 
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,10, , , , , , , , , , 
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,11, , , , , , , , , , 
29,HILLSBOROUGH,0161,BALLAST POINT ELEMENTARY SCHL,12, , , , , , , , , , 
29,HILLSBOROUGH,0161,SCHOOL TOTALS,TOTAL,248,37,68,23,1,1,34,187,225,412
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,KG,40,15,54,2, , ,8,60,59,119
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,1,36,14,56,2, , ,6,50,64,114
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,2,45,11,68,3, , ,4,68,63,131
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,3,24,12,81,4, ,1,4,58,68,126
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,4,41,11,53,11, , ,3,55,64,119
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,5,44,6,68,4, , ,6,61,67,128
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0191,BAY CREST ELEMENTARY SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0191,SCHOOL TOTALS,TOTAL,230,69,380,26, ,1,31,352,385,737
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,KG, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,1, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,2, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,3, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,4, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,5, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,6,127,90,76,27,1, ,18,164,175,339
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,7,129,77,84,17, ,2,16,174,151,325
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,8,151,116,67,29,1,1,24,185,204,389
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0201,BENITO MIDDLE SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0201,SCHOOL TOTALS,TOTAL,407,283,227,73,2,3,58,523,530,"1,053"
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,PK,4,19,23, , , ,2,26,22,48
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,KG,21,15,57, , , ,4,34,63,97
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,1,21,29,51, , , ,1,48,54,102
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,2,15,28,57, , , ,4,53,51,104
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,3,20,27,45, , , ,1,46,47,93
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,4,13,22,48, , , ,2,32,53,85
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,5,13,22,36, , , ,3,38,36,74
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0261,BING ELEMENTARY SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0261,SCHOOL TOTALS,TOTAL,107,162,317, , , ,17,277,326,603
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,PK,*,*,*,*,*,*,*,*,*,*
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,KG,47,7,23,3, , ,8,43,45,88
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,1,66,6,14,2, ,1,7,47,49,96
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,2,63,8,23,4, ,2,6,55,51,106
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,3,56,9,17,3, , ,7,58,34,92
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,4,56,5,18,8,1, ,7,44,51,95
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,5,61,6,27,1,1, ,4,50,50,100
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0271,ALAFIA ELEMENTARY SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0271,SCHOOL TOTALS,TOTAL,351,41,122,21,2,3,39,297,282,579
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,KG, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,1, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,2, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,3, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,4, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,5, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,9,137,198,111,3, ,1,20,303,167,470
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,10,125,162,104,5,2,1,16,265,150,415
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,11,105,191,108,6,3, ,19,259,173,432
29,HILLSBOROUGH,0281,BLAKE HIGH SCHOOL,12,124,151,93,3,2, ,18,237,154,391
29,HILLSBOROUGH,0281,SCHOOL TOTALS,TOTAL,491,702,416,17,7,2,73,"1,064",644,"1,708"
29,HILLSBOROUGH,0282,JUST ELEMENTARY,PK, ,38,1, ,1, , ,26,14,40
29,HILLSBOROUGH,0282,JUST ELEMENTARY,KG, ,101,5, , , ,1,50,57,107
29,HILLSBOROUGH,0282,JUST ELEMENTARY,1,4,98,4, , , ,3,63,46,109
29,HILLSBOROUGH,0282,JUST ELEMENTARY,2, ,84,6,1, , ,1,43,49,92
29,HILLSBOROUGH,0282,JUST ELEMENTARY,3,5,65,10, ,1, ,1,30,52,82
29,HILLSBOROUGH,0282,JUST ELEMENTARY,4,2,51,7, , , ,2,37,25,62
29,HILLSBOROUGH,0282,JUST ELEMENTARY,5, ,47,7, , , , ,29,25,54
29,HILLSBOROUGH,0282,JUST ELEMENTARY,6, , , , , , , , , , 
29,HILLSBOROUGH,0282,JUST ELEMENTARY,7, , , , , , , , , , 
29,HILLSBOROUGH,0282,JUST ELEMENTARY,8, , , , , , , , , , 
29,HILLSBOROUGH,0282,JUST ELEMENTARY,9, , , , , , , , , , 
29,HILLSBOROUGH,0282,JUST ELEMENTARY,10, , , , , , , , , , 
29,HILLSBOROUGH,0282,JUST ELEMENTARY,11, , , , , , , , , , 
29,HILLSBOROUGH,0282,JUST ELEMENTARY,12, , , , , , , , , , 
29,HILLSBOROUGH,0282,SCHOOL TOTALS,TOTAL,11,484,40,1,2, ,8,278,268,546
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,KG, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,1, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,2, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,3, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,4, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,5, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,6,74,121,130,4, ,1,18,117,231,348
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,7,67,93,96,9, ,1,16,93,189,282
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,8,58,124,120,5,1, ,11,123,196,319
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,9, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,10, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,11, , , , , , , , , , 
29,HILLSBOROUGH,0284,STEWART MIDDLE MAGNET SCHOOL,12, , , , , , , , , , 
29,HILLSBOROUGH,0284,SCHOOL TOTALS,TOTAL,199,338,346,18,1,2,45,333,616,949
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,PK, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,KG, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,1, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,2, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,3, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,4, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,5, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,6, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,7, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,8, , , , , , , , , , 
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,9,169,97,134,8,1,2,21,201,231,432
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,10,216,94,135,7, ,1,27,234,246,480
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,11,202,104,160,17, ,2,20,250,255,505
29,HILLSBOROUGH,0291,BRANDON HIGH SCHOOL,12,185,85,140,10,2,1,24,209,238,447
29,HILLSBOROUGH,0291,SCHOOL TOTALS,TOTAL,772,380,569,42,3,6,92,894,970,"1,864"
29,HILLSBOROUGH,0311,BOYETTE SPRINGS ELEM. SCHOOL,PK,3,8,5, , , , ,8,8,16
29,HILLSBOROUGH,0311,BOYETTE SPRINGS ELEM. SCHOOL,KG,44,11,15, , , ,9,40,39,79
29,HILLSBOROUGH,0311,BOYETTE SPRINGS ELEM. SCHOOL,1,58,9,21,2, , ,7,47,50,97
29,HILLSBOROUGH,0311,BOYETTE SPRINGS ELEM. SCHOOL,2,44,9,23,2, , ,3,47,34,81
29,HILLSBOROUGH,0311,BOYETTE SPRINGS ELEM. SCHOOL,3,59,4,36, , , ,5,60,44,104
