MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
16,DUVAL,2201,"MARTIN LUTHER KING, JR ELEMENT",36,78,67,79,66,80,68, , , , , , , ,474
16,DUVAL,2211,NORMANDY VILLAGE ELEMENTARY SC,31,81,75,80,76,53,67, , , , , , , ,463
16,DUVAL,2221,GREENFIELD ELEMENTARY SCHOOL,11,111,67,89,73,64,68, , , , , , , ,483
16,DUVAL,2231,DUNCAN U. FLETCHER HIGH SCHOOL, , , , , , , , , , ,579,634,528,454,"2,195"
16,DUVAL,2241,SAMUEL W. WOLFSON HIGH SCHOOL, , , , , , , , , , ,284,343,327,280,"1,234"
16,DUVAL,2251,SEABREEZE ELEMENTARY SCHOOL, ,126,140,84,122,92,117, , , , , , , ,681
16,DUVAL,2261,CRYSTAL SPRINGS ELEM. SCHOOL,22,159,175,189,189,174,135, , , , , , , ,"1,043"
16,DUVAL,2271,MAYPORT ELEMENTARY SCHOOL,35,83,65,73,85,65,62, , , , , , , ,468
16,DUVAL,2281,MERRILL ROAD ELEMENTARY SCHOOL,78,185,196,196, , , , , , , , , , ,655
16,DUVAL,2291,JACKSONVILLE HEIGHTS ELEMENTAR, ,104,114,90,119,81,89, , , , , , , ,597
16,DUVAL,2301,BEAUCLERC ELEMENTARY SCHOOL, ,179,194,189,160,155,163, , , , , , , ,"1,040"
16,DUVAL,2311,KERNAN TRAIL ELEMENTARY SCHOOL,9,126,105,122,92,110,88, , , , , , , ,652
16,DUVAL,2321,CHIMNEY LAKES ELEMENTARY SCHL, ,167,182,199,204,176,170, , , , , , , ,"1,098"
16,DUVAL,2331,LONE STAR ELEMENTARY SCHOOL, ,88,109,115,132,108,101, , , , , , , ,653
16,DUVAL,2341,STONEWALL JACKSON ELEM. SCHOOL, ,69,62,68,66,48,45, , , , , , , ,358
16,DUVAL,2351,FORT CAROLINE ELEMENTARY SCHL,36,95,97,83,114,75,99, , , , , , , ,599
16,DUVAL,2361,MAMIE AGNES JONES ELEMENTARY S,16,64,62,63,73,62,72, , , , , , , ,412
16,DUVAL,2371,SANDALWOOD HIGH SCHOOL, , , , , , , , , , ,741,811,725,616,"2,893"
16,DUVAL,2381,FORT CAROLINE MIDDLE SCHOOL, , , , , , , ,129,171,205, , , , ,505
16,DUVAL,2391,SABAL PALM ELEMENTARY SCHOOL,17,181,167,156,163,161,175, , , , , , , ,"1,020"
16,DUVAL,2401,ARLINGTON HEIGHTS ELEMENTARY S, ,58,78,63,80,64,78, , , , , , , ,421
16,DUVAL,2411,WESTSIDE HIGH SCHOOL, , , , , , , , , , ,419,384,332,282,"1,417"
16,DUVAL,2421,LOUIS S. SHEFFIELD ELEMENTARY, ,140,123,143,139,170,127, , , , , , , ,842
16,DUVAL,2431,GREGORY DRIVE ELEMENTARY SCHOO, ,122,123,124,129,123,91, , , , , , , ,712
16,DUVAL,2441,HIGHLANDS MIDDLE SCHOOL, , , , , , , ,227,295,293, , , , ,815
16,DUVAL,2451,CROWN POINT ELEMENTARY SCHOOL,21,166,158,195,173,173,152, , , , , , , ,"1,038"
16,DUVAL,2461,NEPTUNE BEACH ELEMENTARY SCHOO,45,144,141,164,149,150,142, , , , , , , ,935
16,DUVAL,2471,JOSEPH FINEGAN ELEMENTARY SCHO,18,70,72,64,65,62,72, , , , , , , ,423
16,DUVAL,2481,EDWARD H. WHITE HIGH SCHOOL, , , , , , , , , , ,510,396,401,331,"1,638"
16,DUVAL,2491,GREENLAND PINES ELEM. SCHOOL,58,128,132,124,124,124,122, , , , , , , ,812
16,DUVAL,2501,PINE ESTATES ELEMENTARY SCHOOL,18,50,37,54,46,48,51, , , , , , , ,304
16,DUVAL,2511,TWIN LAKES ACADEMY ELEM SCHOOL,17,127,158,156,144,134,138, , , , , , , ,874
16,DUVAL,2521,ALDEN ROAD EXCEP. STUDENT CENT, , , , , , , ,9,5,10,12,21,17,95,169
16,DUVAL,2531,TWIN LAKES ACADEMY MIDDLE, , , , , , , ,394,419,492, , , , ,"1,305"
16,DUVAL,2541,MAYPORT MIDDLE SCHOOL, , , , , , , ,287,299,260, , , , ,846
16,DUVAL,2551,ENTERPRISE LEARNING ACADEMY,46,134,141,139,126,117,100, , , , , , , ,803
16,DUVAL,2561,LANDMARK MIDDLE SCHOOL, , , , , , , ,394,403,406, , , , ,"1,203"
16,DUVAL,2571,ALIMACANI ELEMENTARY SCHOOL,33,144,141,125,126,122,155, , , , , , , ,846
16,DUVAL,2581,MANDARIN OAKS ELEMENTARY SCHOO,9,201,177,195,211,156,175, , , , , , , ,"1,124"
16,DUVAL,2591,MANDARIN MIDDLE SCHOOL, , , , , , , ,438,517,512, , , , ,"1,467"
16,DUVAL,2601,MANDARIN HIGH SCHOOL, , , , , , , , , , ,578,645,621,601,"2,445"
16,DUVAL,2621,ANDREW A. ROBINSON ELEMENTARY,35,100,111,105,112,90,100, , , , , , , ,653
16,DUVAL,2631,ABESS PARK ELEMENTARY SCHOOL,27,119,122,145,126,95,111, , , , , , , ,745
16,DUVAL,2641,CHET'S CREEK ELEMENTARY SCHOOL, ,221,213,242,228,204,194, , , , , , , ,"1,302"
16,DUVAL,2651,FIRST COAST HIGH SCHOOL, , , , , , , , , , ,546,584,527,453,"2,110"
16,DUVAL,2671,LAVILLA SCHOOL OF THE ARTS, , , , , , , ,394,360,344, , , , ,"1,098"
16,DUVAL,2681,ATLANTIC COAST HIGH SCHOOL, , , , , , , , , , ,555,503,511,482,"2,051"
16,DUVAL,2691,BISCAYNE ELEMENTARY SCHOOL,24,103,92,131,111,101,99, , , , , , , ,661
16,DUVAL,2701,OCEANWAY ELEMENTARY SCHOOL,32,102,99,79,98,89,87, , , , , , , ,586
16,DUVAL,2741,WESTVIEW K-8,21,136,145,144,144,128,142,129,111,121, , , , ,"1,221"
16,DUVAL,2791,KERNAN MIDDLE SCHOOL, , , , , , , ,373,374,410, , , , ,"1,157"
16,DUVAL,2801,FRANK H. PETERSON ACADEMIES, , , , , , , , , , ,340,301,260,223,"1,124"
16,DUVAL,2851,A. PHILIP RANDOLPH ACADEMIES,32, , , , , , , , , ,112,137,93,87,461
16,DUVAL,5351,ACCLAIM ACADEMY CHARTER SCHOOL, , , , , , , ,51,65,74,59,39,11, ,299
16,DUVAL,5371,FLORIDA VIRTUAL ACADEMY AT DUV, ,25,30,27,30,26,24,31,43,22,18,9, , ,285
16,DUVAL,5381,SAN JOSE PREPARATORY HIGH SCHO, , , , , , , ,1, ,1,67,38,19, ,126
16,DUVAL,5391,SAN JOSE ACADEMY, , , , , , , ,84,89,75,2, , , ,250
16,DUVAL,5401,"SEASIDE COMMUNITY SCHOOLS, INC", ,54,34,35,18, , , , , , , , , ,141
16,DUVAL,5411,DUVAL CHARTER SCHOOL AT WESTSI, ,74,77,43,72,63,70,125,136, , , , , ,660
16,DUVAL,5421,FLORIDA HIGH SCHOOL FOR ACCELE, , , , , , , , , , ,35,51,46,44,176
