MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
52,PINELLAS,0991,LEILA DAVIS ELEMENTARY SCHOOL,30,110,134,125,137,139,120, , , , , , , ,795
52,PINELLAS,1031,DIXIE M. HOLLINS HIGH SCHOOL, , , , , , , , , , ,538,518,427,343,"1,826"
52,PINELLAS,1071,DUNEDIN ELEMENTARY SCHOOL,32,89,122,99,103,106,74, , , , , , , ,625
52,PINELLAS,1081,DUNEDIN HIGH SCHOOL, , , , , , , , , , ,365,435,360,356,"1,516"
52,PINELLAS,1091,DUNEDIN HIGHLAND MIDDLE SCHOOL, , , , , , , ,353,372,339, , , , ,"1,064"
52,PINELLAS,1131,EISENHOWER ELEMENTARY SCHOOL,30,136,122,144,114,109,103, , , , , , , ,758
52,PINELLAS,1211,FAIRMOUNT PARK ELEMENTARY SCHL,33,109,126,110,126,76,69, , , , , , , ,649
52,PINELLAS,1261,JOHN M. SEXTON ELEMENTARY SCHL,43,104,111,97,114,113,103, , , , , , , ,685
52,PINELLAS,1281,FITZGERALD MIDDLE SCHOOL, , , , , , , ,351,389,397, , , , ,"1,137"
52,PINELLAS,1331,FOREST LAKES ELEMENTARY SCHOOL,8,78,79,89,112,99,95, , , , , , , ,560
52,PINELLAS,1341,FRONTIER ELEMENTARY SCHOOL,32,100,105,124,121,105,117, , , , , , , ,704
52,PINELLAS,1361,FUGUITT ELEMENTARY SCHOOL,32,90,94,112,107,88,86, , , , , , , ,609
52,PINELLAS,1421,LYNCH ELEMENTARY SCHOOL,32,99,113,104,124,104,100, , , , , , , ,676
